,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,arraial do cabo,0.0,BR,1540224000.0,50.0,-22.97,-42.02,78.8,16.11
1,lavrentiya,8.0,RU,1540226072.0,100.0,65.58,-170.99,37.25,24.52
2,codrington,0.0,AU,1540226072.0,95.0,-28.95,153.24,55.7,2.37
3,punta arenas,0.0,CL,1540224000.0,89.0,-53.16,-70.91,48.2,6.93
4,rikitea,80.0,PF,1540226073.0,100.0,-23.12,-134.97,70.46,4.72
5,siddapur,20.0,IN,1540226073.0,94.0,13.66,74.91,70.37,1.7
6,mataura,24.0,NZ,1540226074.0,67.0,-46.19,168.86,52.33,7.4
7,wollongong,0.0,AU,1540224000.0,82.0,-34.42,150.89,62.6,2.37
8,kapaa,40.0,US,1540223760.0,78.0,22.08,-159.32,77.0,14.99
9,igarka,92.0,RU,1540226075.0,93.0,67.47,86.57,28.88,9.98
10,touros,0.0,BR,1540226075.0,61.0,-5.2,-35.46,85.76,17.81
11,pleshanovo,88.0,RU,1540224000.0,93.0,57.46,28.17,48.2,11.18
12,ushuaia,40.0,AR,1540224000.0,68.0,-54.81,-68.31,48.2,28.86
13,cullen,1.0,US,1540224900.0,58.0,32.97,-93.45,59.0,3.36
14,husavik,12.0,CA,1540226076.0,80.0,50.56,-96.99,41.75,16.69
15,constitucion,90.0,MX,1540223160.0,100.0,23.99,-104.67,57.2,4.7
16,busselton,24.0,AU,1540226077.0,100.0,-33.64,115.35,53.5,4.72
17,luderitz,0.0,NA,1540224000.0,37.0,-26.65,15.16,86.0,6.93
18,sinnamary,8.0,GF,1540226077.0,86.0,5.38,-52.96,84.59,12.44
19,mar del plata,0.0,AR,1540226078.0,61.0,-46.43,-67.52,52.87,2.15
20,akropong,20.0,GH,1540224000.0,74.0,5.97,-0.09,86.0,14.99
21,dikson,0.0,RU,1540226078.0,100.0,73.51,80.55,19.57,18.03
22,hilo,90.0,US,1540223580.0,88.0,19.71,-155.08,68.0,8.05
